(2024-12-10 04:00:56,859) | root| INFO | => Mode Changed: Real/Imaginary
(2024-12-10 04:09:45,507) | root| INFO | => Mode Changed: Real/Imaginary
(2024-12-10 04:09:49,250) | root| INFO | => Resizing complete. Image size is (250, 250)
(2024-12-10 04:09:51,234) | root| INFO | => Resizing complete. Image size is (250, 250)
(2024-12-10 04:09:51,234) | root| INFO | => Resizing complete. Image size is (250, 250)
(2024-12-10 04:09:52,711) | root| INFO | => Resizing complete. Image size is (250, 250)
(2024-12-10 04:09:52,711) | root| INFO | => Resizing complete. Image size is (250, 250)
(2024-12-10 04:09:52,711) | root| INFO | => Resizing complete. Image size is (250, 250)
(2024-12-10 04:09:55,023) | root| INFO | => Resizing complete. Image size is (250, 250)
(2024-12-10 04:09:55,024) | root| INFO | => Resizing complete. Image size is (250, 250)
(2024-12-10 04:09:55,024) | root| INFO | => Resizing complete. Image size is (250, 250)
(2024-12-10 04:09:55,024) | root| INFO | => Resizing complete. Image size is (250, 250)
(2024-12-10 04:10:09,546) | root| INFO | => Selected component for image 0 is FT Real
(2024-12-10 04:10:09,554) | root| INFO | => Setting Component Type: FT Real
(2024-12-10 04:10:09,554) | root| INFO | => Mixing in Real/Imaginary Mode
(2024-12-10 04:10:09,572) | root| INFO | => Image saved successfully as Reconstructed Images/reconstructed_image.png.
(2024-12-10 04:10:10,883) | root| INFO | => Selected component for image 1 is FT Imaginary
(2024-12-10 04:10:10,891) | root| INFO | => Setting Component Type: FT Imaginary
(2024-12-10 04:10:10,892) | root| INFO | => Mixing in Real/Imaginary Mode
(2024-12-10 04:10:10,912) | root| INFO | => Image saved successfully as Reconstructed Images/reconstructed_image.png.
(2024-12-10 04:10:12,850) | root| INFO | => Selected component for image 2 is FT Real
(2024-12-10 04:10:12,855) | root| INFO | => Setting Component Type: FT Real
(2024-12-10 04:10:12,856) | root| INFO | => Mixing in Real/Imaginary Mode
(2024-12-10 04:10:12,876) | root| INFO | => Image saved successfully as Reconstructed Images/reconstructed_image.png.
(2024-12-10 04:10:17,109) | root| INFO | => Selected component for image 3 is FT Imaginary
(2024-12-10 04:10:17,117) | root| INFO | => Setting Component Type: FT Imaginary
(2024-12-10 04:10:17,118) | root| INFO | => Mixing in Real/Imaginary Mode
(2024-12-10 04:10:17,140) | root| INFO | => Image saved successfully as Reconstructed Images/reconstructed_image.png.
(2024-12-10 04:10:21,102) | root| INFO | => Mixing in Real/Imaginary Mode
(2024-12-10 04:10:21,143) | root| INFO | => Image saved successfully as Reconstructed Images/reconstructed_image.png.
(2024-12-10 04:10:21,148) | root| INFO | => Mixing in Real/Imaginary Mode
(2024-12-10 04:10:21,177) | root| INFO | => Image saved successfully as Reconstructed Images/reconstructed_image.png.
(2024-12-10 04:10:21,181) | root| INFO | => Mixing in Real/Imaginary Mode
(2024-12-10 04:10:21,207) | root| INFO | => Image saved successfully as Reconstructed Images/reconstructed_image.png.
(2024-12-10 04:10:21,211) | root| INFO | => Mixing in Real/Imaginary Mode
(2024-12-10 04:10:21,238) | root| INFO | => Image saved successfully as Reconstructed Images/reconstructed_image.png.
(2024-12-10 04:10:21,241) | root| INFO | => Mixing in Real/Imaginary Mode
(2024-12-10 04:10:21,265) | root| INFO | => Image saved successfully as Reconstructed Images/reconstructed_image.png.
(2024-12-10 04:10:21,268) | root| INFO | => Mixing in Real/Imaginary Mode
(2024-12-10 04:10:21,289) | root| INFO | => Image saved successfully as Reconstructed Images/reconstructed_image.png.
(2024-12-10 04:10:21,292) | root| INFO | => Mixing in Real/Imaginary Mode
(2024-12-10 04:10:21,314) | root| INFO | => Image saved successfully as Reconstructed Images/reconstructed_image.png.
(2024-12-10 04:10:21,317) | root| INFO | => Mixing in Real/Imaginary Mode
(2024-12-10 04:10:21,339) | root| INFO | => Image saved successfully as Reconstructed Images/reconstructed_image.png.
(2024-12-10 04:10:22,837) | root| INFO | => Mixing in Real/Imaginary Mode
(2024-12-10 04:10:22,860) | root| INFO | => Image saved successfully as Reconstructed Images/reconstructed_image.png.
(2024-12-10 04:10:22,864) | root| INFO | => Mixing in Real/Imaginary Mode
